measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,320,Cook Islands,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,59.85922929711245,69.41733762117273,51.13858638793248
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,97217.32521660833,121943.76641650492,75577.98258215401
1,Deaths,58,Estonia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,7250.990827868275,8042.8558459775,6220.798797727811
1,Deaths,435,South Sudan,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,8697.031036280472,11419.619991434387,6434.554825314649
1,Deaths,119,Trinidad and Tobago,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,4020.347466089276,5023.454251188541,3166.856941731479
1,Deaths,136,Paraguay,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,10604.95429120206,13140.249480579674,8512.90023097302
1,Deaths,22,Fiji,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,2815.5988096081132,3496.5234990834256,2198.1914802637366
1,Deaths,202,Cameroon,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,32531.458717734433,42622.504520331204,25118.332881927625
1,Deaths,218,Togo,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,10525.039969470996,13244.911884215917,8087.1918617405945
1,Deaths,23,Kiribati,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,274.8084587992275,342.0167342589527,225.79368926039842
1,Deaths,156,United Arab Emirates,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,5122.619479231929,6211.187994477078,4107.933628425996
1,Deaths,77,Cyprus,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,3038.162559567847,3420.9030891602984,2624.3895107717044
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,106567.54544911277,127980.33731153043,87721.18647815773
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,202.94117737225338,212.54387610607188,192.48333524791
1,Deaths,191,Zambia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,19338.62868850179,24055.162906527545,14603.366692606087
1,Deaths,217,Sierra Leone,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,11277.046299019365,13983.477722602227,8905.275116771702
1,Deaths,19,Timor-Leste,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,2781.6091018855896,3382.4426526334537,2235.622413723772
1,Deaths,154,Tunisia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,34996.92644767867,44753.610519894144,27112.831997811085
1,Deaths,43,Albania,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,14049.757725158837,16082.960566613769,12064.26008797706
1,Deaths,78,Denmark,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,12976.448507065032,13953.279535615497,11142.896841166517
1,Deaths,86,Italy,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,216230.90268222932,238470.34451124194,173597.63951934353
1,Deaths,76,Belgium,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,26397.03235948614,28883.330975994275,21927.15087914183
1,Deaths,45,Bulgaria,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,75607.59406057518,84193.8717574922,66944.88272220537
1,Deaths,121,Bolivia (Plurinational State of),3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,14170.690377441715,19010.02972901995,10895.906626478316
1,Deaths,150,Oman,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,4617.5606742065265,5492.935884722176,3833.6626254462703
1,Deaths,187,Somalia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,14652.451854420031,19227.00489266502,10668.92037572918
1,Deaths,55,Slovenia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,7243.759949269439,8124.04546321391,6136.010230413496
1,Deaths,396,San Marino,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,70.27126692080317,93.20320557700721,49.42448359512022
1,Deaths,184,Mozambique,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,33665.15176823014,41243.378304207865,25855.557921661002
1,Deaths,29,Tonga,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,187.49397979317445,225.08972520431215,154.85873665669794
1,Deaths,369,Nauru,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,38.84448508094032,48.07038949903408,31.279992702104146
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,39140.83863110364,42269.856892825715,34342.63645784129
1,Deaths,88,Malta,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,1306.5250462449878,1450.6466607539226,1104.7301770219608
1,Deaths,110,Dominica,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,212.2505044592949,244.99494803999337,189.81192507748244
1,Deaths,170,Congo,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,8364.274768895124,10239.436316085275,6680.38905601094
1,Deaths,26,Papua New Guinea,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,15881.644779784647,19889.497784758205,12400.82681547759
1,Deaths,376,Northern Mariana Islands,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,117.55469456244856,124.54615238236359,103.62516052397741
1,Deaths,204,Chad,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,16590.836065106712,20685.820044337466,13046.743538254048
1,Deaths,298,American Samoa,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,139.27047338433243,161.33268074569997,121.55679234952134
1,Deaths,183,Mauritius,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,3553.5447583759437,3690.828884863414,3267.3393188895143
1,Deaths,108,Belize,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,450.27497061027975,498.96992775456624,399.3857499291478
1,Deaths,203,Cabo Verde,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,1139.0249366609166,1324.6661195875322,951.3805493341946
1,Deaths,61,Republic of Moldova,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,21916.40587909316,23917.570116636416,19836.224761783757
1,Deaths,210,Liberia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,5789.468820196875,7396.117466601498,4580.371729172814
1,Deaths,85,Israel,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,10551.70112921985,11478.381151502917,8856.012993812294
1,Deaths,196,South Africa,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,98583.86212117782,104762.3826631717,92395.1456639856
1,Deaths,44,Bosnia and Herzegovina,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,18762.595647752645,21583.717675159798,15581.925285656082
1,Deaths,62,Russian Federation,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,939155.4755568192,1006478.1812847538,862416.8105815599
1,Deaths,71,Australia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,47247.03717561562,51106.342357208625,39818.48299441633
1,Deaths,122,Ecuador,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,21304.357571283188,25890.464379973826,17439.42866170241
1,Deaths,82,Greece,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,48078.67661798197,51369.60491023943,41493.45751370235
1,Deaths,49,North Macedonia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,13287.500818675317,15252.068128019218,11414.12509523273
1,Deaths,142,Iran (Islamic Republic of),3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,169551.61159278578,181374.38786588982,154182.7907726294
1,Deaths,30,Vanuatu,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,813.1794085583213,960.2274658424315,689.2742907845808
1,Deaths,38,Mongolia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,6904.056931767894,7651.801532186166,6143.388320218517
1,Deaths,139,Algeria,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,97620.79387297988,113257.67257287649,82851.25527096823
1,Deaths,74,Andorra,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,156.33533136811775,200.67610126770708,112.6407729974493
1,Deaths,169,Central African Republic,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,7617.493538595215,9752.61729921351,5818.8460655515355
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,1281.729985245413,1763.0869674145279,885.3857004568071
1,Deaths,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,97394.11537274523,111228.1963382216,84184.29577650061
1,Deaths,107,Barbados,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,932.8247067652165,1107.8340454723557,768.1895082996386
1,Deaths,27,Samoa,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,550.3569029337009,655.004288462106,469.8352711169489
1,Deaths,115,Jamaica,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,6392.698088019294,8001.422709526416,5044.377058479289
1,Deaths,161,Bangladesh,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,377154.91714288585,455882.27440876124,306432.528744349
1,Deaths,81,Germany,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,318955.7881327414,346024.916591896,266663.2217573103
1,Deaths,393,Saint Kitts and Nevis,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,150.25134892371204,169.58000833977272,128.40455201403933
1,Deaths,11,Indonesia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,765623.7730321438,870947.8471808054,642503.0785459105
1,Deaths,48,Hungary,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,57956.094675022876,63610.36685792845,51345.362558560766
1,Deaths,89,Netherlands,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,40433.34016662227,43678.21169662042,33982.77696246654
1,Deaths,147,Libya,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,14046.054766127672,17856.83898096513,11182.484926657406
1,Deaths,141,Egypt,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,275636.7244664012,323841.6180214773,233266.95992493132
1,Deaths,10,Cambodia,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2021,33252.64775412757,39796.5889228355,26799.13601860938
